Bill,Summary,Issues
Changing Filibuster Rules to Pass Democracy Reforms,"Senate Majority Leader Chuck Schumer (D-NY) filed a procedural motion to allow H.R. 5746, the Freedom to Vote: John R. Lewis Act, to pass the Senate with a simple majority rather than the 60-vote supermajority normally needed to overcome a filibuster. The Freedom to Vote: John R. Lewis Act would be the most significant pro-democracy legislation in the U.S. in half a century. It would restore and modernize the full protections of the Voting Rights Act of 1965 that the Supreme Court undermined in Shelby County v. Holder and Brnovich v. Democratic National Committee, and it would update them to better address the modern forms of voter suppression seen in hundreds of anti-voter bills filed in state legislatures across the country during the last two years. This legislation would also protect free and fair elections by safeguarding and expanding voter access, banning partisan gerrymandering, modernizing voter registration, strengthening our campaign finance system, protecting election integrity, and promoting security of election systems. Everyone’s right to be heard and counted in the political process is essential to the functioning of our democracy and protection of our environment, and far too often it is people of color and frontline communities who are targeted by restrictive voting laws and gerrymandering–the same communities most impacted by climate change and environmental injustice. Ensuring that voters have access to the ballot box and their voices are not drowned out by outsized corporate interests would better equip the people to hold politicians accountable and safeguard meaningful public health and environmental protections. On January 19, the Senate upheld the ruling of the chair, sustaining the filibuster and blocking the Freedom to Vote: John R. Lewis Act, by a vote of 52-48 (Senate roll call vote 10). NO IS THE PRO-ENVIRONMENT VOTE.",Justice and Democracy
Thomas Confirmation (Ninth Circuit Court of Appeals),"The Senate considered President Joe Biden’s nomination of Holly A. Thomas to serve as a circuit judge of the United States Court of Appeals for the Ninth Circuit. The Ninth Circuit is one of the nation’s most powerful courts, with jurisdiction over more land and more people than any other court except the United States Supreme Court. Federal judges serve for life and the laws that protect our environment and democracy are only as strong as the judges who uphold and enforce them. Before becoming a judge of the Los Angeles County Superior Court, Thomas litigated in prestigious governmental and nonprofit positions to advance fair employment and housing, LGBTQ+ rights, and school desegregation, among other important causes. As a Black woman and as a career public-interest lawyer, Thomas brings personal and professional diversity to a judiciary that has long been dominated by White male judges appointed after careers in private law firms or as prosecutors. On January 20, the Senate confirmed Thomas to be a Circuit Judge of the United States Court of Appeals for the Ninth Circuit by a vote of 48-40 (Senate roll call vote 11). YES IS THE PRO-ENVIRONMENT VOTE.",Justice and Democracy
Jackson Confirmation (Supreme Court),"The Senate considered President Joe Biden’s nomination of Ketanji Brown Jackson to serve as an associate justice of the Supreme Court of the United States. The Supreme Court exercises extraordinary authority over all levels of government and areas of public policy, including climate, clean water, democracy, and civil rights. Like all federal judges, Supreme Court justices serve for life, and environmental laws are only as strong as the judges who uphold them. Jackson was previously appointed by President Biden to serve as a circuit judge of the United States Court of Appeals for the District of Columbia Circuit, and by President Barack Obama to serve both as a district judge of the United States District Court for the District of Columbia and as the vice chair of the United States Sentencing Commission. During her time at the Sentencing Commission, it took concrete action to reduce mass incarceration and ameliorate longstanding racist sentencing disparities related to the war on drugs. As a district judge, Jackson issued rulings in favor of disability rights, labor rights, immigrants’ rights, and a congressional subpoena related to the first impeachment investigation of President Donald Trump. Jackson is the first Black woman and first former public defender ever to serve on the Supreme Court, and the first Supreme Court nominee in decades to have been confirmed by the Senate on three prior occasions. On April 7, the Senate confirmed Jackson to be an associate justice of the Supreme Court of the United States by a vote of 53-47 (Senate roll call vote 134). YES IS THE PRO-ENVIRONMENT VOTE.",Justice and Democracy
Expanding Dirty and Dangerous Offshore Drilling,"Senator John Barrasso (R-WY) sponsored a motion to instruct (MTI) Senate conferees on H.R. 4521, the United States Innovation and Competition Act (USICA) of 2021, to force the Biden-Harris administration to immediately develop a five-year offshore oil and gas leasing plan that includes a minimum of 10 region-wide oil and gas lease sales in the Gulf of Mexico and Alaska regions. This damaging MTI not only contradicts the necessity to act on climate change and protect coastal communities and wildlife, but it also circumvents the careful, participatory statutory process used to develop the five-year plan. The oil and gas industry has already stockpiled millions of acres of unused leases, and new leases that are sold would not start producing for years or decades, thus having no impact on current oil prices. On May 4, the Senate approved the Barrasso MTI by a vote of 53-44 (Senate roll call vote 148). NO IS THE PRO-ENVIRONMENT VOTE. Portions of the underlying bill, though none mandating completion of a five-year plan or a minimum of lease sales, were included in the final  Creating Helpful Incentives to Produce Semiconductors (CHIPS) & Science Act (H.R. 4346) that the president signed into law on August 9.","Drilling, Dirty Energy, Oceans"
Undermining International Climate Commitments,"Senator Mike Lee (R-UT) sponsored a motion to instruct (MTI) Senate conferees on H.R. 4521, the United States Innovation and Competition Act (USICA) of 2021, to eliminate international-focused provisions included in the House-passed America Creating Opportunities for Manufacturing Pre-Eminence in Technology and Economic Strength (COMPETES) Act of 2021, including an $8 billion authorization for the Green Climate Fund, the establishment of a State Department program to provide adaptation, mitigation, and security assistance to under-resourced countries, a professed commitment to implementing the Paris climate agreement and addressing climate change, and the establishment of a State Department task force to coordinate a whole-of-government response to climate change. As the wealthiest nation in the world and one of the largest historical emitters of climate pollution, the U.S. has an obligation to swiftly advance our own clean energy transition through all the tools at our disposal, and to contribute our fair share to support under-resourced countries in meeting our shared climate goals – all of which this amendment would undermine. On May 4, the Senate rejected the Lee MTI by a vote of 48-49 (House Roll Call 150). NO IS THE PRO-ENVIRONMENT VOTE. While this MTI was rejected, the crucial climate provisions it sought to eliminate were not ultimately included in the  Creating Helpful Incentives to Produce Semiconductors (CHIPS) & Science Act (H.R. 4346), the final version of this bill which the president signed into law on August 9. ",Climate
Hampering Presidential Emergency Actions on Climate,"Senator Shelley Moore Capito (R-WV) sponsored a motion to instruct (MTI) to Senate conferees on H.R. 4521, the United States Innovation and Competition Act (USICA) of 2021, which would undermine the president’s authority to declare a national, major disaster, or public health emergency, or to invoke the authorities of the Defense Production Act because of climate change. At a moment where we do find ourselves in a climate emergency, we must be able to use all the available tools to tackle this crisis, including these important presidential emergency powers. On May 4 the Senate agreed to Senator Capito’s MTI by a vote of 49-47 (House roll call vote 157). NO IS THE PRO-ENVIRONMENT VOTE. While agreed to here, these attacks on presidential emergency powers were not included in the Creating Helpful Incentives to Produce Semiconductors (CHIPS) & Science Act (H.R. 4346), the final version of this bill which the president signed into law on August 9.","Climate, Clean Energy"
Restoring the Right to Abortion Access,"Senator Richard Blumenthal (D-CT) sponsored S. 4132, the Women’s Health Protection Act of 2022, to prohibit governmental restrictions on providing and accessing abortion services. For nearly 50 years, the U.S. Constitution protected the right to abortion. The Supreme Court’s decision in Dobbs v. Jackson Women’s Health Organization overturned the venerable precedent of Roe v. Wade and, for the first time in the nation’s history, removed a constitutional right. The people most impacted by the loss of this fundamental right are the same people who bear the greatest burdens from the climate crisis, environmental injustice, and voter suppression: communities of color, communities with low wealth, and rural communities. This legislation would create a statutory right to abortion access, restoring federal protections against state-level abortion bans. Additionally, near majority support for this bill in the Senate highlights the extreme decisions of the current Supreme Court majority, that has also undermined protections for the environment, democracy, and racial justice. On May 11, the Senate failed to invoke cloture on the motion to proceed to S. 4132 by a vote of 49-51 (Senate roll call vote 170). YES IS THE PRO-ENVIRONMENT VOTE.",Justice and Democracy
Undercutting Public Input and Environmental Review,"Senator Dan Sullivan (R-AK) sponsored S.J. Res 55, a joint resolution of disapproval under the Congressional Review Act (CRA) that would undermine core provisions of the National Environmental Policy Act’s (NEPA) implementation, namely regulations that were restored by President Joe Biden. In 2020, the Trump administration severely rolled back long-standing NEPA regulations, seeking to entrench federal climate denial, hastily permit dangerous or polluting projects, and systematically disenfranchise low-income, rural, and communities of color from government decision making. The Biden-Harris administration’s rule restored basic elements of the Council on Environmental Quality’s NEPA regulations, including consideration of climate change and cumulative impacts of projects on communities, because they are critically important to addressing the climate crisis and environmental justice. On August 4, the Senate approved S.J. Res. 55 by a vote of 50-47 (Senate roll call vote 283). NO IS THE PRO-ENVIRONMENT VOTE. The House did not take action on this resolution in 2022.","Environmental Justice, Climate Change; Other"
Elimination of Superfund Tax,"Senator Lindsey Graham (R-SC) sponsored an amendment to H.R. 5376, the Inflation Reduction Act (IRA) of 2022, that would strike the Superfund tax included in the bill and replace it with a one-year extension of the 2019 State and Local Tax (SALT) deduction limitation. Reinstating the Superfund tax on polluters, which previously expired in 1995, will help the Environmental Protection Agency better fund and accelerate the cleanup of Superfund sites across the country. Superfund sites are primarily former industrial sites awaiting remediation that are the most heavily contaminated and likely to threaten public health and are disproportionately located near communities of color and communities with low wealth. Since the modest Superfund tax on polluters expired and the trust funded by the tax dried up, so too did the funding for and pace of these critical cleanups. On August 7, the Senate rejected the Graham amendment by a vote of 50-50 (Senate roll call vote 289). NO IS THE PRO-ENVIRONMENT VOTE.","Environmental Justice, Toxics, Clean Air and Clean Water"
Mandatory Oil and Gas Leasing on Public Lands,"Senator John Barrasso (R-WY) sponsored an amendment to H.R. 5376, the Inflation Reduction Act (IRA) of 2022, to mandate unnecessary onshore oil and gas drilling lease sales. The amendment would result in hundreds of thousands of acres of public land being offered for lease, including land with low or no potential for development, land far from existing infrastructure, and land near endangered species habitats. For years to come, this amendment would lock up public land that could be managed for conservation, recreation, or other public good. The oil and gas industry has already stockpiled millions of acres of unused leases, and new leases that are sold would not start producing for years or decades, thus having no impact on current oil prices. On August 7, the Senate rejected the Barrasso amendment by a vote of 50-50 (Senate roll call vote 291). NO IS THE PRO-ENVIRONMENT VOTE.","Drilling, Dirty Energy, Public Lands/Forests"
